date,deaths
01 January 2019,50385
01 February 2019,42847
01 March 2019,41117
01 April 2019,41167
01 May 2019,41504
01 June 2019,36180
01 July 2019,39614
01 August 2019,36271
01 September 2019,37462
01 October 2019,43257
01 November 2019,42280
01 December 2019,44286
01 January 2018,60075
01 February 2018,45918
01 March 2018,47726
01 April 2018,43478
01 May 2018,39951
01 June 2018,37213
01 July 2018,38059
01 August 2018,37610
01 September 2018,34682
01 October 2018,41466
01 November 2018,40971
01 December 2018,38710
01 January 2017,53675
01 February 2017,44815
01 March 2017,45594
01 April 2017,36422
01 May 2017,41383
01 June 2017,39447
01 July 2017,35940
01 August 2017,38341
01 September 2017,37535
01 October 2017,40745
01 November 2017,42690
01 December 2017,42295
01 January 2016,44387
01 February 2016,43033
01 March 2016,45308
01 April 2016,43755
01 May 2016,38716
01 June 2016,39378
01 July 2016,36484
01 August 2016,38006
01 September 2016,37742
01 October 2016,37835
01 November 2016,43523
01 December 2016,42624
01 January 2015,57034
01 February 2015,43727
01 March 2015,44809
01 April 2015,42286
01 May 2015,36713
01 June 2015,39289
01 July 2015,37916
01 August 2015,33823
01 September 2015,38876
01 October 2015,39458
01 November 2015,38883
01 December 2015,42495
01 January 2014,45929
01 February 2014,38566
01 March 2014,38573
01 April 2014,38729
01 May 2014,36880
01 June 2014,36058
01 July 2014,38512
01 August 2014,33640
01 September 2014,38339
01 October 2014,40201
01 November 2014,36967
01 December 2014,46481
01 January 2013,49492
01 February 2013,41002
01 March 2013,41915
01 April 2013,46352
01 May 2013,39475
01 June 2013,33503
01 July 2013,37260
01 August 2013,33322
01 September 2013,34350
01 October 2013,39585
01 November 2013,37322
01 December 2013,39974
01 January 2012,43882
01 February 2012,41861
01 March 2012,41299
01 April 2012,38928
01 May 2012,41087
01 June 2012,34303
01 July 2012,36657
01 August 2012,36435
01 September 2012,32934
01 October 2012,40394
01 November 2012,39330
01 December 2012,39669
01 January 2011,46835
01 February 2011,36733
01 March 2011,41342
01 April 2011,34521
01 May 2011,37437
01 June 2011,37398
01 July 2011,33275
01 August 2011,35924
01 September 2011,35893
01 October 2011,34740
01 November 2011,38020
01 December 2011,40744
01 January 2010,45195
01 February 2010,38366
01 March 2010,42235
01 April 2010,37975
01 May 2010,34163
01 June 2010,37530
01 July 2010,34380
01 August 2010,33775
01 September 2010,36842
01 October 2010,36159
01 November 2010,39409
01 December 2010,44988
01 January 2009,51385
01 February 2009,38726
01 March 2009,39603
01 April 2009,37717
01 May 2009,34193
01 June 2009,36299
01 July 2009,35426
01 August 2009,31479
01 September 2009,36570
01 October 2009,37565
01 November 2009,37487
01 December 2009,42791
