year,men,single_men,divorced_men,women,single_women,divorced_women
2018,34,32,51,32,30,49
2017,34.2,31.8,50.5,32,30.1,47.9
2016,34.1,31.6,50,31.9,29.9,47.5
2015,33.9,31.5,49.2,31.7,29.7,46.7
2014,33.5,31.2,48.6,31.3,29.5,45.8
2013,33.4,31.1,47.9,31.2,29.3,45.4
2012,33.2,31,47.4,31,29.1,44.7
2011,33.2,30.9,46.7,30.9,29.1,43.9
2010,33.2,30.8,46.3,30.8,29,43.6
2009,33.4,30.8,46.1,30.8,28.9,43.4
2008,33.6,30.8,45.9,31,28.8,43.1
2007,33.7,30.8,45.4,31.1,28.7,42.7
2006,33.7,30.8,44.8,31.1,28.6,42.1
2005,33.6,30.7,44.2,31.1,28.5,41.6
2004,33.2,30.4,43.6,30.8,28.3,40.8
2003,32.9,30.3,43.3,30.6,28.1,40.3
2002,32.6,30.5,42.6,30.3,27.9,39.7
2001,32.1,29.7,42,29.9,27.7,39.2
2000,32,29.6,41.8,29.8,27.5,38.9
1999,31.6,29.2,41.2,29.4,27.3,38.4
1998,31.2,28.9,40.8,29.1,27,37.9
1997,31,28.6,40.5,28.9,26.7,37.4
1996,30.6,28.3,40.2,28.6,26.4,37.1
1995,30.1,27.9,39.8,28.1,26,36.6
1994,29.6,27.5,39.6,27.6,25.7,36.3
1993,29.2,27.2,39.4,27.2,25.3,36.2
1992,28.8,26.8,39.2,26.8,25,35.9
1991,28.4,26.5,39,26.3,24.6,35.7
1990,28,26.1,38.9,25.9,24.3,35.6
1989,27.7,25.8,38.7,25.6,23.9,35.4
1988,27.5,25.6,38.4,25.2,23.6,35.2
1987,27,25.3,37.8,24.8,23.3,34.7
1986,26.9,25.1,37.7,24.6,23.1,34.7
1985,26.7,24.9,37.3,24.3,22.8,34.4
1984,26.5,24.7,37,24.1,22.6,34.3
1983,26.3,24.5,36.6,23.8,22.3,34
1982,26.1,24.3,36.3,23.6,22.1,33.8
1981,25.9,24.1,35.9,23.4,22,33.4
1980,25.8,24,35.8,23.2,21.8,33.1
1979,25.7,23.9,35.7,23.1,21.7,32.8
1978,25.6,23.8,35.7,23,21.6,32.7
1977,25.4,23.8,35.7,22.9,21.5,32.6
1976,25.2,23.7,36,22.7,21.5,32.5
1975,25,23.6,36.1,22.6,21.4,32.6
1974,24.9,23.6,36.3,22.5,21.4,32.6
1973,24.8,23.5,36.8,22.4,21.4,32.8
1972,24.6,23.5,38.3,22.4,21.5,33.8
1971,24.1,23.4,37,22,21.4,33
1970,23.7,23.2,36.1,21.8,21.3,32.5
1969,23.7,23.1,36.4,21.8,21.4,32.9
1968,23.8,23.2,36.7,21.7,21.3,33.4
1967,23.9,23.3,37.3,21.6,21.2,34
1966,23.9,23.4,37.4,21.6,21.2,34.3
1965,24.1,23.5,37.8,21.7,21.3,34.3
1964,24.4,23.8,38.2,21.7,21.3,34.7
1963,24.5,23.9,38.7,21.7,21.3,35.2
1962,24.6,24,39.1,21.9,21.5,35.8
1961,24.6,24.1,39.2,22,21.6,35.9
1960,24.7,24.1,39.5,22,21.7,36.2
1959,24.8,24.2,39.4,22.1,21.7,36.3
1958,24.8,24.3,39.2,22.2,21.7,36
1957,25.1,24.4,39,22.3,21.9,35.8
1956,25.2,24.6,39.3,22.5,22,35.4
1955,25.4,24.7,39.1,22.7,22.2,35.1
1954,25.5,24.8,39.1,22.9,22.3,34.7
1953,25.7,24.9,38.9,23,22.4,34.5
1952,25.9,25.1,38.5,23.1,22.5,34.2
1951,25.9,25.1,38,23.2,22.6,33.9
1950,26.2,25.3,37.3,23.4,22.7,33.4
1949,26.4,25.4,37,23.5,22.8,33
1948,26.6,25.6,36.4,23.8,23,32.4
1947,26.7,25.8,36.4,24,23.2,32.3
